attemptId,browserAspectRatio,browserInnerHeight,browserInnerWidth,browserName,browserOrientation,browserOuterHeight,browserOuterWidth,browserVersion.0,browserVersion.1,browserVersion.2,browserVersion.3,browserVersion.4,connectionDownlink,connectionDownlinkMax,connectionEffectiveType,connectionRTT,connectionSaveData,connectionType,courseSize,date,datetime,engineName,engineVersion.0,engineVersion.1,engineVersion.2,engineVersion.3,engineVersion.4,htmlFontSize,isDeleted,isLive,operatingSystemName,operatingSystemVersion.0,operatingSystemVersion.1,operatingSystemVersion.2,operatingSystemVersion.3,operatingSystemVersion.4,platformModel,platformType,platformVendor,scope,screenAspectRatio,screenHeight,screenIsTouch,screenOrientation,screenWidth,sessionId,userId
osbrj,0.458333333333333,880,1920,chrome,landscape,1040,1920,109,0,0,0,,10,2147483647,4g,100,false,unknown,large,2023-01-17T00:00:00.0000,2023-01-17T23:20:55.5529,blink,0,,,,,16px,false,false,windows,10,0,,,,"",desktop/laptop,,sj_family_products_dangerous_goods,0.5625,1080,false,landscape,1920,a494af07b7d366c28bd7d4bf9883c8229efc1b55738a3fc13245ee0498d23683,3e63264e969211153630003042862a0011f6f959d3b01ca2f7155667b07734e0
q9xfl,1.46133333333333,548,375,safari,portrait,667,375,15,5,,,,11.425,2147483647,4g,0,false,unknown,small,2023-01-18T00:00:00.0000,2023-01-18T09:07:24.0460,webkit,605,,,,,16px,false,false,ios,15,5,,,,iphone,mobile,,sj_family_products_dangerous_goods,1.77866666666667,667,true,portrait,375,ead94b8f21703c9da111da42d89d50e607ee89b418e9c82fa88215714964eb96,3e63264e969211153630003042862a0011f6f959d3b01ca2f7155667b07734e0
wcjje,1.60906515580737,568,353,chrome,portrait,568,353,109,0,0,0,,1.65,2147483647,4g,200,false,wifi,small,2023-01-18T00:00:00.0000,2023-01-18T09:33:41.7309,blink,0,,,,,16px,false,false,android,13,,,,,"",mobile,,sj_family_products_dangerous_goods,2.1671388101983,765,true,portrait,353,fda1028eb5b1e69b1450c9950bb549c8068b2b112c5a30b4ac199a81c926b87b,3e63264e969211153630003042862a0011f6f959d3b01ca2f7155667b07734e0
wcjje,1.90368271954674,672,353,chrome,portrait,672,353,109,0,0,0,,1.65,2147483647,4g,50,false,wifi,small,2023-01-18T00:00:00.0000,2023-01-18T09:33:43.8980,blink,0,,,,,16px,false,false,android,13,,,,,"",mobile,,sj_family_products_dangerous_goods,2.1671388101983,765,true,portrait,353,fda1028eb5b1e69b1450c9950bb549c8068b2b112c5a30b4ac199a81c926b87b,3e63264e969211153630003042862a0011f6f959d3b01ca2f7155667b07734e0
wcjje,1.60906515580737,568,353,chrome,portrait,568,353,109,0,0,0,,1.65,2147483647,4g,50,false,wifi,small,2023-01-18T00:00:00.0000,2023-01-18T09:37:14.0499,blink,0,,,,,16px,false,false,android,13,,,,,"",mobile,,sj_family_products_dangerous_goods,2.1671388101983,765,true,portrait,353,fda1028eb5b1e69b1450c9950bb549c8068b2b112c5a30b4ac199a81c926b87b,3e63264e969211153630003042862a0011f6f959d3b01ca2f7155667b07734e0
osbrj,0.488020833333333,937,1920,chrome,landscape,1040,1920,109,0,0,0,,2.15,2147483647,4g,100,false,unknown,large,2023-01-18T00:00:00.0000,2023-01-18T11:46:02.2530,blink,0,,,,,16px,false,false,windows,10,0,,,,"",desktop/laptop,,sj_family_products_dangerous_goods,0.5625,1080,false,landscape,1920,a494af07b7d366c28bd7d4bf9883c8229efc1b55738a3fc13245ee0498d23683,3e63264e969211153630003042862a0011f6f959d3b01ca2f7155667b07734e0
1e1yg,1.64537037037037,1777,1080,chrome,portrait,1880,1080,109,0,0,0,,3,2147483647,4g,100,false,unknown,large,2023-01-18T00:00:00.0000,2023-01-18T12:27:51.6740,blink,0,,,,,16px,false,false,windows,10,0,,,,"",desktop/laptop,,sj_family_products_dangerous_goods,1.77777777777778,1920,false,portrait,1080,a6b19b97fe8d99474d93fbc753115fdee41ebeaaa349fafd02bd2020ea75a423,9796bf82554a10cddbe13cab4dec0e1c886459c116f69612d7baad5901c6f136
wekp2,1.66203703703704,1795,1080,firefox,portrait,1896,1096,108,0,,,,41.2,2147483647,4g,0,false,unknown,large,2023-01-18T00:00:00.0000,2023-01-18T12:43:58.9119,gecko,20100101,,,,,16px,false,false,windows,10,0,,,,"",desktop/laptop,,sj_family_products_dangerous_goods,1.77777777777778,1920,false,portrait,1080,1fba2ab764f70f7e9a9430501d2c51865760aa1e1d1ed1edf5d3ef14288cf30e,3e63264e969211153630003042862a0011f6f959d3b01ca2f7155667b07734e0
wekp2,1.66203703703704,1795,1080,firefox,portrait,1896,1096,108,0,,,,52.1,2147483647,4g,0,false,unknown,large,2023-01-18T00:00:00.0000,2023-01-18T12:44:11.9939,gecko,20100101,,,,,16px,false,false,windows,10,0,,,,"",desktop/laptop,,sj_family_products_dangerous_goods,1.77777777777778,1920,false,portrait,1080,f269b1cedf7e0f17a1744fe181f169f59fbd89ebcc5979db17ff8fa17dc54976,3e63264e969211153630003042862a0011f6f959d3b01ca2f7155667b07734e0
wekp2,1.66203703703704,1795,1080,firefox,portrait,1896,1096,108,0,,,,63.175,2147483647,4g,0,false,unknown,large,2023-01-18T00:00:00.0000,2023-01-18T12:44:13.9349,gecko,20100101,,,,,16px,false,false,windows,10,0,,,,"",desktop/laptop,,sj_family_products_dangerous_goods,1.77777777777778,1920,false,portrait,1080,72120f60c6b5b187a562e1cd46681c6935b922c8f7be317be0bf08d7669fec9f,3e63264e969211153630003042862a0011f6f959d3b01ca2f7155667b07734e0
