"User ID","Certification ID","Certification Name","Course Category",Status,"Time Expires","Time completed","Time assigned","Time started","Include in dashboard"
2,7,"Data security and privacy","Data Security and Privacy","In progress",,"13/05/2023, 16:54:08","09/04/2021, 01:22:19","16/11/2022, 19:55:37",1
2,8,"Safe and Healthy Workplace","Workplace Health & Safety","In progress",,,"09/04/2021, 01:22:27","10/04/2023, 14:10:47",1
2,9,Compliance,People,"Not certified",,,"09/04/2021, 01:22:36","14/01/2023, 15:47:36",1
1240,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","04/07/2023, 21:20:14",1
1016,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","18/07/2023, 21:47:49",1
1014,8,"Safe and Healthy Workplace","Workplace Health & Safety",Expired,,,"09/04/2021, 06:07:11","01/02/2023, 22:26:18",1
1019,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","21/02/2023, 01:02:50",1
1015,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","25/05/2023, 09:27:07",1
1020,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","04/06/2023, 22:59:26",1
1021,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","10/04/2023, 21:55:17",1
1013,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","02/07/2023, 01:37:46",1
1038,8,"Safe and Healthy Workplace","Workplace Health & Safety",Expired,,,"09/04/2021, 06:07:11","04/02/2023, 23:39:00",1
1040,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","20/06/2023, 15:00:32",1
1023,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","03/06/2023, 20:17:14",1
1024,8,"Safe and Healthy Workplace","Workplace Health & Safety",Expired,,,"09/04/2021, 06:07:11","01/02/2023, 13:25:15",1
1025,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","10/07/2023, 13:32:48",1
1027,8,"Safe and Healthy Workplace","Workplace Health & Safety",Expired,,,"09/04/2021, 06:07:11","02/02/2023, 16:29:38",1
1028,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","08/08/2023, 10:43:36",1
1029,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","30/04/2023, 16:47:08",1
1030,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","21/06/2023, 16:27:02",1
1031,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","10/07/2023, 08:36:57",1
1033,8,"Safe and Healthy Workplace","Workplace Health & Safety",Expired,,,"09/04/2021, 06:07:11","02/02/2023, 01:12:14",1
1034,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","28/08/2023, 15:57:24",1
1035,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","20/03/2023, 12:13:19",1
1036,8,"Safe and Healthy Workplace","Workplace Health & Safety",Expired,,,"09/04/2021, 06:07:11","13/02/2023, 08:31:01",1
1041,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","24/04/2023, 05:11:27",1
1042,8,"Safe and Healthy Workplace","Workplace Health & Safety",Expired,,,"09/04/2021, 06:07:11","02/02/2023, 08:49:37",1
1043,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","06/02/2023, 19:24:55",1
1044,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","15/06/2023, 20:08:34",1
1045,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:11","23/07/2023, 09:41:49",1
1047,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","23/05/2023, 22:08:34",1
1048,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","23/04/2023, 07:58:41",1
1050,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","20/04/2023, 22:32:22",1
1052,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","02/07/2023, 06:40:56",1
1053,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","12/06/2023, 11:39:24",1
1056,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","29/04/2023, 21:37:37",1
1057,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","26/03/2023, 12:37:40",1
1058,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","18/04/2023, 03:00:11",1
1060,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","04/06/2023, 21:04:35",1
1062,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","18/06/2023, 05:18:52",1
1063,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","06/06/2023, 17:25:31",1
1064,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","13/06/2023, 14:47:38",1
1065,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","02/07/2023, 07:45:01",1
1067,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","05/09/2023, 19:35:45",1
1068,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","25/08/2023, 01:51:37",1
1069,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","17/03/2023, 12:04:22",1
1071,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","12/06/2023, 17:04:04",1
1072,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","25/03/2023, 23:25:04",1
1073,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","31/08/2023, 02:08:45",1
1075,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","03/04/2023, 20:01:14",1
1077,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","15/02/2023, 12:16:48",1
1078,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","16/04/2023, 14:27:38",1
1080,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","24/04/2023, 01:45:27",1
1082,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","23/08/2023, 23:02:26",1
1083,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","14/04/2023, 15:19:23",1
1085,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","23/04/2023, 15:06:02",1
1087,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","14/06/2023, 12:01:46",1
1088,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","04/05/2023, 03:30:35",1
1090,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","25/05/2023, 16:48:48",1
1092,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","15/07/2023, 12:57:31",1
1093,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","25/08/2023, 10:48:43",1
1096,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","05/05/2023, 04:43:37",1
1097,8,"Safe and Healthy Workplace","Workplace Health & Safety",Expired,,,"09/04/2021, 06:07:12","10/02/2023, 09:42:32",1
1098,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","25/06/2023, 05:08:46",1
1100,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","12/05/2023, 15:47:30",1
1101,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","01/09/2023, 04:05:52",1
1103,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","08/02/2023, 13:57:25",1
1104,8,"Safe and Healthy Workplace","Workplace Health & Safety",Expired,,,"09/04/2021, 06:07:12","05/02/2023, 04:34:13",1
1106,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","13/02/2023, 10:07:13",1
1107,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","12/08/2023, 19:24:19",1
1110,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","27/02/2023, 18:00:00",1
1111,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","06/05/2023, 18:42:26",1
1112,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","28/03/2023, 17:10:31",1
1113,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","02/02/2023, 21:49:30",1
1115,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","05/02/2023, 08:20:20",1
1117,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","17/02/2023, 09:11:09",1
1118,8,"Safe and Healthy Workplace","Workplace Health & Safety","Not certified",,,"09/04/2021, 06:07:12","25/04/2023, 22:26:36",1
