"User ID","Course ID","Course Name","Course Category","Time enrolled","Time started","Time completed","Completion Status","Completion Due Date","Include in dashboard"
1013,78,"Social and Digital Media and the Workplace","Data Security and Privacy","12/04/2021, 01:22:39",,,"Not yet started",,1
1013,77,"Privacy and the Workplace","Data Security and Privacy","12/04/2021, 01:22:39",,,"Not yet started",,1
1013,76,"Information and Cyber-Security","Data Security and Privacy","12/04/2021, 01:22:39",,,"Not yet started",,1
1013,87,"Work Health and Safety Fundamentals","Workplace Health & Safety","12/04/2021, 01:22:39",,,"Not yet started",,1
1013,85,"Occupational Health and Safety Fundamentals","Workplace Health & Safety","12/04/2021, 01:22:39",,,"Not yet started",,1
1013,86,"Office Ergonomics","Workplace Health & Safety","12/04/2021, 01:22:39",,,"Not yet started",,1
1013,84,"Mental Health in the Workplace","Workplace Health & Safety","12/04/2021, 01:22:39",,,"Not yet started",,1
1013,83,"Manual Handling Hazard Guide","Workplace Health & Safety","12/04/2021, 01:22:39",,,"Not yet started",,1
1013,82,"Injury Management for Workers","Workplace Health & Safety","12/04/2021, 01:22:39",,,"Not yet started",,1
1013,67,"Bullying and Harassment for Employees",People,"12/04/2021, 01:22:39","19/01/2023, 21:42:36","20/03/2023, 12:48:53","Complete via rpl",,1
1013,74,"Modern Slavery",People,"12/04/2021, 01:22:39","19/01/2023, 21:42:36","24/04/2023, 06:01:25","Complete via rpl",,1
1013,75,"Sexual Harassment",People,"12/04/2021, 01:22:39","19/01/2023, 21:42:36","15/04/2023, 14:25:28","Complete via rpl",,1
1013,63,"Introducing Commercial Awareness","Commercial Awareness","12/04/2021, 01:22:40","02/12/2022, 23:52:06","15/12/2022, 06:20:21","Complete via rpl",,1
1013,64,"The Successful Conversations Framework","Commercial Awareness","12/04/2021, 01:22:40","02/12/2022, 23:52:06","12/12/2022, 21:23:14","Complete via rpl",,1
1017,87,"Work Health and Safety Fundamentals","Workplace Health & Safety","12/04/2021, 03:05:07","12/04/2021, 04:54:50",,"In progress",,1
1017,85,"Occupational Health and Safety Fundamentals","Workplace Health & Safety","12/04/2021, 03:05:07",,,"Not yet started",,1
1017,86,"Office Ergonomics","Workplace Health & Safety","12/04/2021, 03:05:07",,,"Not yet started",,1
1017,84,"Mental Health in the Workplace","Workplace Health & Safety","12/04/2021, 03:05:07",,,"Not yet started",,1
1017,83,"Manual Handling Hazard Guide","Workplace Health & Safety","12/04/2021, 03:05:07",,,"Not yet started",,1
1017,82,"Injury Management for Workers","Workplace Health & Safety","12/04/2021, 03:05:07",,,"Not yet started",,1
1017,63,"Introducing Commercial Awareness","Commercial Awareness","12/04/2021, 03:28:20","12/04/2021, 04:55:13",,"In progress",,1
1017,64,"The Successful Conversations Framework","Commercial Awareness","12/04/2021, 03:28:21","13/04/2021, 10:11:45","14/04/2021, 00:00:00",Complete,,1
3229,87,"Work Health and Safety Fundamentals","Workplace Health & Safety","12/04/2021, 16:25:11",,,"Not yet started",,1
3229,85,"Occupational Health and Safety Fundamentals","Workplace Health & Safety","12/04/2021, 16:25:11",,,"Not yet started",,1
3229,86,"Office Ergonomics","Workplace Health & Safety","12/04/2021, 16:25:11",,,"Not yet started",,1
3229,84,"Mental Health in the Workplace","Workplace Health & Safety","12/04/2021, 16:25:11",,,"Not yet started",,1
3229,83,"Manual Handling Hazard Guide","Workplace Health & Safety","12/04/2021, 16:25:11",,,"Not yet started",,1
3229,82,"Injury Management for Workers","Workplace Health & Safety","12/04/2021, 16:25:11",,,"Not yet started",,1
3229,67,"Bullying and Harassment for Employees",People,"12/04/2021, 16:25:11","21/02/2023, 07:59:55","12/03/2023, 15:14:19","Complete via rpl",,1
3229,74,"Modern Slavery",People,"12/04/2021, 16:25:11","21/02/2023, 07:59:55","15/02/2023, 16:55:28","Complete via rpl",,1
3229,75,"Sexual Harassment",People,"12/04/2021, 16:25:11","21/02/2023, 07:59:55","12/03/2023, 15:31:37","Complete via rpl",,1
3229,63,"Introducing Commercial Awareness","Commercial Awareness","12/04/2021, 16:25:11","17/01/2023, 02:36:52","02/02/2023, 22:20:47","Complete via rpl",,1
3229,64,"The Successful Conversations Framework","Commercial Awareness","12/04/2021, 16:25:11","17/01/2023, 02:36:52","02/03/2023, 01:52:46","Complete via rpl",,1
1017,89,"Analytical Thinking Foundations","Our Way - Core Competencies","15/04/2021, 09:19:30","15/04/2021, 09:19:46",,"In progress",,1
2994,52,"How to Use This Program","Leadership & Management","20/04/2021, 05:32:47","29/07/2022, 20:46:51","20/04/2021, 05:33:00",Complete,,1
2994,48,"Setting Expectations","Leadership & Management","20/04/2021, 05:32:47","29/07/2022, 20:46:51","16/09/2022, 12:44:53","Complete via rpl",,1
2994,51,"Giving Feedback","Leadership & Management","20/04/2021, 05:32:47","29/07/2022, 20:46:51","22/10/2022, 13:25:02","Complete via rpl",,1
2994,54,Coaching,"Leadership & Management","20/04/2021, 05:32:47","29/07/2022, 20:46:51","18/09/2022, 01:01:49","Complete via rpl",,1
2994,55,"Monitoring Performance","Leadership & Management","20/04/2021, 05:32:47","29/07/2022, 20:46:51","28/09/2022, 17:52:21","Complete via rpl",,1
2994,53,Delegating,"Leadership & Management","20/04/2021, 05:32:47","29/07/2022, 20:46:51","13/10/2022, 15:08:52","Complete via rpl",,1
2,89,"Analytical Thinking Foundations","Our Way - Core Competencies","30/04/2021, 17:30:26",,,"Not yet started",,1
1240,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:53","16/12/2022, 11:26:17","08/03/2023, 00:40:22","Complete via rpl",,1
1240,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:53","16/12/2022, 11:26:17","20/02/2023, 16:03:34","Complete via rpl",,1
1016,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:53","05/12/2022, 03:30:14","31/12/2022, 18:15:10","Complete via rpl",,1
1016,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:53","05/12/2022, 03:30:14","17/01/2023, 14:02:31","Complete via rpl",,1
1014,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54",,,"Not yet started",,1
1014,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54",,,"Not yet started",,1
1019,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54","27/12/2022, 15:38:01","06/02/2023, 06:38:14","Complete via rpl",,1
1019,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54","27/12/2022, 15:38:01","25/01/2023, 05:59:28","Complete via rpl",,1
1015,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54","15/03/2023, 06:05:49","03/04/2023, 07:01:01","Complete via rpl",,1
1015,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54","15/03/2023, 06:05:49","11/04/2023, 13:18:47","Complete via rpl",,1
1020,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54","11/05/2021, 21:32:58",,"In progress",,1
1020,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54",,,"Not yet started",,1
1021,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54",,,"Not yet started",,1
1021,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54",,,"Not yet started",,1
1038,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54","25/12/2022, 05:18:25","03/01/2023, 14:31:22","Complete via rpl",,1
1038,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54","25/12/2022, 05:18:25","06/04/2023, 12:59:13","Complete via rpl",,1
1040,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54",,,"Not yet started",,1
1040,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54",,,"Not yet started",,1
1023,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54","22/12/2022, 05:45:12","16/04/2023, 00:38:15","Complete via rpl",,1
1023,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54","22/12/2022, 05:45:12","10/06/2023, 21:18:15","Complete via rpl",,1
1024,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54","16/12/2022, 17:49:45","22/01/2023, 20:04:33","Complete via rpl",,1
1024,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54","16/12/2022, 17:49:45","04/02/2023, 20:23:29","Complete via rpl",,1
1025,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54","03/12/2022, 11:54:48","19/12/2022, 06:57:31","Complete via rpl",,1
1025,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54","03/12/2022, 11:54:48","10/12/2022, 23:38:30","Complete via rpl",,1
1027,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54",,,"Not yet started",,1
1027,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54",,,"Not yet started",,1
1028,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54","15/12/2022, 05:17:53","26/12/2022, 04:33:15","Complete via rpl",,1
1028,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54","15/12/2022, 05:17:53","28/12/2022, 02:11:01","Complete via rpl",,1
1029,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54","17/12/2022, 03:09:46","02/01/2023, 02:45:48","Complete via rpl",,1
1029,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54","17/12/2022, 03:09:46","07/01/2023, 02:22:58","Complete via rpl",,1
1030,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54","05/12/2022, 20:43:28","21/12/2022, 23:18:32","Complete via rpl",,1
1030,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54","05/12/2022, 20:43:28","12/12/2022, 21:06:06","Complete via rpl",,1
1031,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54",,,"Not yet started",,1
1031,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54",,,"Not yet started",,1
1033,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54","30/12/2022, 03:24:45","13/03/2023, 12:34:43","Complete via rpl",,1
1033,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54","30/12/2022, 03:24:45","14/03/2023, 06:47:36","Complete via rpl",,1
1034,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54",,,"Not yet started",,1
1034,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54",,,"Not yet started",,1
1035,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54","31/01/2023, 23:20:49","07/03/2023, 00:19:10","Complete via rpl",,1
1035,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54","31/01/2023, 23:20:49","21/03/2023, 14:51:17","Complete via rpl",,1
1036,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54","14/03/2023, 19:33:51","14/04/2023, 21:23:47","Complete via rpl",,1
1036,64,"The Successful Conversations Framework","Commercial Awareness","04/05/2021, 17:26:54","14/03/2023, 19:33:51","25/03/2023, 11:26:33","Complete via rpl",,1
1041,63,"Introducing Commercial Awareness","Commercial Awareness","04/05/2021, 17:26:54","05/12/2022, 11:58:11","09/05/2023, 15:56:31","Complete via rpl",,1
