"User ID","Course ID","Course Name","SCORM Title","SCO Start Date","SCO Total Time (milliseconds)","SCO Status"
2,61,"Working at Heights","Working at Heights","29/03/2021, 02:59:39",113330,Incomplete
2,78,"Social and Digital Media and the Workplace","Social and Digital Media and the Workplace","14/04/2021, 02:12:56",596110,Incomplete
2,84,"Mental Health in the Workplace","Mental Health in the Workplace","15/04/2021, 02:11:50",11730,Incomplete
2,63,"Introducing Commercial Awareness","Introducing Commercial Awareness","15/04/2021, 02:27:09",28400,Incomplete
2994,52,"How to Use This Program","How to Use This Program","20/04/2021, 05:33:00",60540,Incomplete
2,48,"Setting Expectations","WHAT Expectations","27/04/2021, 23:45:12",2512940,Incomplete
1423,78,"Social and Digital Media and the Workplace","Social and Digital Media and the Workplace","05/05/2021, 04:54:29",218810,Incomplete
3230,78,"Social and Digital Media and the Workplace","Social and Digital Media and the Workplace","05/05/2021, 05:18:44",14480,Incomplete
3540,78,"Social and Digital Media and the Workplace","Social and Digital Media and the Workplace","05/05/2021, 05:35:44",,
3540,78,"Social and Digital Media and the Workplace","Social and Digital Media and the Workplace",,,Incomplete
2546,78,"Social and Digital Media and the Workplace","Social and Digital Media and the Workplace","05/05/2021, 05:38:21",1180830,Incomplete
2801,78,"Social and Digital Media and the Workplace","Social and Digital Media and the Workplace","05/05/2021, 06:51:52",17430,Incomplete
3778,78,"Social and Digital Media and the Workplace","Social and Digital Media and the Workplace","05/05/2021, 06:55:25",,Incomplete
3805,78,"Social and Digital Media and the Workplace","Social and Digital Media and the Workplace","05/05/2021, 07:13:58",,Incomplete
3233,78,"Social and Digital Media and the Workplace","Social and Digital Media and the Workplace","05/05/2021, 07:16:49",431680,Incomplete
2,48,"Setting Expectations","Introduction ","11/05/2021, 21:30:09",91580,Completed
1020,63,"Introducing Commercial Awareness","Introducing Commercial Awareness","11/05/2021, 21:33:02",315770,Incomplete
2,86,"Office Ergonomics","Office Ergonomics","31/05/2021, 11:39:42",626470,Passed
1017,63,"Introducing Commercial Awareness","Introducing Commercial Awareness","13/04/2021, 09:50:15",158600,Incomplete
2,87,"Work Health and Safety Fundamentals","Workplace Health and Safety","25/07/2022, 14:20:59",18270,Incomplete
2,86,"Office Ergonomics","Office Ergonomics","27/07/2022, 03:53:13",79320,Incomplete
2,68,"Bullying and Harassment Training for Managers and Supervisors","Bullying and Harassment Training for Managers and Supervisors","27/07/2022, 10:34:07",,Incomplete
2,58,"Embedding Change","Introduction to Embedding Change","27/07/2022, 10:35:44",,Incomplete
2,73,"Identifying Poor Performance, Misconduct and Absenteeism","Identifying Poor Performance, Misconduct and Absenteeism","27/07/2022, 11:46:28",,Incomplete
2,76,"Information and Cyber-Security","Information and Cyber Security","27/07/2022, 11:47:45",,Incomplete
4067,79,"COVID-Safe Workplace","COVID Safe Workplace","24/11/2022, 19:16:46",,Incomplete
3230,63,"Introducing Commercial Awareness","Introducing Commercial Awareness","12/12/2022, 14:39:06",,
2,79,"COVID-Safe Workplace","COVID Safe Workplace","22/05/2023, 15:47:20",7860,Incomplete
2,60,"Basic Life Support","Basic Life Support","27/07/2022, 04:29:32",14110,Incomplete
2,67,"Bullying and Harassment for Employees","Bullying and Harassment for Employees","27/07/2022, 10:28:20",12030,Incomplete
1013,63,"Introducing Commercial Awareness","Introducing Commercial Awareness","30/05/2023, 16:23:39",,
2,74,"Modern Slavery","Modern Slavery","25/04/2024, 12:23:56",2691210,Incomplete
2,51,"Giving Feedback","Learn About This Journey","19/09/2024, 21:30:12",,
2,112,"Brad Test",SCORM,"19/09/2024, 21:32:45",449000,Incomplete
4067,67,"Bullying and Harassment for Employees","Bullying and Harassment for Employees","23/09/2024, 12:44:18",,
